web-scraper-order,web-scraper-start-url,google_titre,date,url,url-href,titre,description,auteur,info,text
"1732986896-1","https://news.google.com/search?q=occupation%20universitaire%20site%3Aletemps.ch%20when%3A1y&hl=fr&gl=FR&ceid=FR%3Afr","Plus - La guerre Israël-Hamas: notre suivi de la semaine du 12 au 18 août","2024-08-16T07:00:00Z","","https://news.google.com/read/CBMivwFBVV95cUxNTFpUZ2syS29iRVBNQ2VzaGxXRlZ5MGkwZlFpVUVaT2tLMDJvTmVKY3N2WjA2ZTk5T2hSd19jdnhvUGhCbVFFS2NTenhIUzctem5kTnp0cWZkUkpDWWpUVGFjUlp3bW1Fb0Z1dVF4SXFXUEtBOTJucjl6TktuV3VoWmlBaE5KRHNpWGE2aGlYc2Vxb2lEOXl3X3hmXzZncGJmRzVySWIyU1RXUmxaSTZxTHc2QURHNUpGNTV5RWxZMA?hl=fr&gl=FR&ceid=FR%3Afr","","","Le Temps avec les agences","","[{""text"":""Reportage: Guerre Israël-Hamas: le stade Yarmouk de Gaza, de l’arène sportive au centre de détention""},{""text"":""Sur le terrain: A Gaza, une frappe israélienne sur une école rend encore plus improbable un cessez-le-feu""},{""text"":""Témoignages: Des Palestiniennes racontent la torture dans les prisons israéliennes""},{""text"":""Diplomatie: Entre l’Iran et Israël, un calme précaire avant la tempête""},{""text"":""Analyse: Israël a-t-il «ouvert la boîte de Pandore»? Dans l’attente des représailles iraniennes""},{""text"":""Reportage: Au Proche-Orient, la menace d’une guerre totale renforce la détermination des deux camps""},{""text"":""Diplomatie: L’Iran et le Hezbollah crient vengeance après les assassinats israéliens""},{""text"":""Sur le terrain: Des militants d’extrême droite prennent d’assaut des bases militaires israéliennes""},{""text"":""Décryptage: Le plateau du Golan en quatre questions""},{""text"":""Revue de presse: Devant le Congrès américain, un Benyamin Netanyahou jusqu’au-boutiste face à un soutien qui s’érode""},{""text"":""Témoignages: «Nous voulons seulement que cette guerre s’arrête, dormir une heure sans être terrorisés»: dans le nord de Gaza, la faim et la lente agonie des civils""},{""text"":""Image de couverture: Doha, le 16 août 2024. (Karim Jaafar / AFP)""}]"
"1732986899-2","https://news.google.com/search?q=occupation%20universitaire%20site%3Aletemps.ch%20when%3A1y&hl=fr&gl=FR&ceid=FR%3Afr","Plus - Massacre du 7-Octobre: «Pour nous, les Israéliens, il n’y a pas de commémoration possible»","2024-10-06T07:00:00Z","","https://news.google.com/read/CBMixAFBVV95cUxOa0Y5Xzc0dERiWGptbV9MbWhSN0E5REVianRGRnJRbTVwSnNfWE1pZTNMTXZSRUltc2UtNDZOckpIMnhac2NjVmZoMHI3ZXNObWp1SVZpU0R6dmRCR2V6WFFRUjJ0S05Sa1RZcVJNdHNRbGRleDNadGJZaDVsYVNMUEZRbkZFbWVKQ2RBaUdZQm1DUTVEOXNyR0FxREVhSkNuLXlqd3ZvUkxlcUphMzZnUy1PaURSUURIZzBzUWdSUS1rUWRY?hl=fr&gl=FR&ceid=FR%3Afr","","","Charlotte Gauthier","Publié le 06 octobre 2024 à 19:04. / Modifié le 09 octobre 2024 à 14:37.","[{""text"":""Auteur d'Israël, l’impossible Etat normal qui vient de paraître aux Editions Calmann-Lévy, Denis Charbit, professeur en sciences politiques à l’Université ouverte d’Israël, pointe avec inquiétude les dichotomies dans les ressentis, un an après le massacre commis par le Hamas lors duquel près de 1200 personnes ont été assassinées en quelques heures.""}]"
"1732986902-3","https://news.google.com/search?q=occupation%20universitaire%20site%3Aletemps.ch%20when%3A1y&hl=fr&gl=FR&ceid=FR%3Afr","Plus - Pékin patronne la réconciliation palestinienne","2024-07-23T07:00:00Z","","https://news.google.com/read/CBMikAFBVV95cUxPMVBHQXRJRVVrbmJoUmlMUUNPU2VqTmhOOEIzTW8xYmw0UThKQXctUUE1NGlaVW11ZWlBVWRDV3dVNHBBdk5BV3FWaER5aVIwUkZLek9iOXNyRUppWlNuS0VFWHEyQ2p4SUtMeTA4ajNDX1ozWmhwNHN4V3I1V3RZa0oxRUJDOVl1Z1gtRHZaZmQ?hl=fr&gl=FR&ceid=FR%3Afr","","","Frédéric Koller","Publié le 23 juillet 2024 à 18:52. / Modifié le 30 juillet 2024 à 11:48.","[{""text"":""Après les pays arabes, le chemin de la paix intra-palestinienne fait un nouveau détour, par la Chine cette fois-ci. Mardi, à Pékin, 14 factions palestiniennes dont les deux plus importantes, le Fatah au pouvoir à Ramallah et le Hamas qui contrôlait Gaza, ont signé un accord d’«unité nationale». Une réconciliation jugée indispensable par le parrain chinois pour parvenir à un cessez-le-feu avec Israël, reconstruire Gaza et, en fin de compte, réaliser une «solution à deux Etats». «La réconciliation est une affaire intérieure des factions palestiniennes, mais elle ne pourra se résoudre sans le soutien de la communauté internationale», s’est félicité Wang Yi, le chef de la diplomatie chinoise.""},{""text"":""Cet accord sera-t-il le bon? De nombreuses réunions suivies d’une déclaration d’unité par le passé, en Egypte, en Arabie saoudite, en Algérie ou à Moscou, sont restées lettre morte, la défiance entre une Autorité palestinienne laïque et le mouvement religieux du Hamas semblant insurmontable. «La pression militaire et politique sur le Hamas est telle actuellement qu’il est obligé de faire des concessions, explique Hasni Abidi, chargé de cours au Global Studies Institute de l’Université de Genève. Il ne veut pas risquer un effacement total. Il comprend qu’il ne peut plus être le seul maître à Gaza.»""}]"
"1732986906-4","https://news.google.com/search?q=occupation%20universitaire%20site%3Aletemps.ch%20when%3A1y&hl=fr&gl=FR&ceid=FR%3Afr","Plus - L’histoire du «petit Gandhi», une réflexion sur ce que vaut une vie","2024-11-11T08:00:00Z","","https://news.google.com/read/CBMiqwFBVV95cUxPY0RJQ2lOSXBfckVCeVlOMktnbndKZ3F4YWlya1o2a0RGT2pVS21pal9iSHBOSF83ZU83UHpUQkJGenVDdjhnVlVJbE9UR3BzRWNpek9wY0NJZTBGSldIWjFSSFJMYWZKcTBoWjVIWnp4THJLZEdvVWpueGtEYTRSdTg4SF9NMlltZVQxQmFmTVY4S1FZcGtIVHprS1FKWGZ4ek1pTHlmNHlWTms?hl=fr&gl=FR&ceid=FR%3Afr","","","Gauthier Ambrus","Publié le 11 novembre 2024 à 21:34. / Modifié le 12 novembre 2024 à 10:50.","[{""text"":""Le constat est terrible: en ce début de millénaire, une vie humaine ne vaut plus grand-chose. L’inflation la plus inquiétante ne s’en prend pas au pouvoir d’achat mais aux êtres. C’est une chute vertigineuse que rien ne semble pouvoir enrayer. Nous en avons tous les jours des exemples sous les yeux. Ou plutôt, ils sont devenus tellement fréquents que nous ne les voyons presque plus.""},{""text"":""Morts de Gaza, pour la plupart civils, que la magie destructrice des bombes ne se contente pas de pulvériser. Elle les transforme aussi en simples chiffres. Vingt-neuf aujourd’hui, déjà combien hier? Beaucoup, trop. Mais on l’a déjà oublié. D’autant plus que l’information, par définition, est toujours terriblement approximative. Et en Ukraine? A quelles hauteurs s’élève le nombre de tués, dans une écrasante majorité des soldats cette fois – ce qui ne rend pas leur mort plus acceptable? 50 000, 120 000, 150 000, encore plus? Dès qu’on songe à la réalité cachée derrière ces chiffres, le vertige vous prend.""},{""text"":""Les chiffres sont une matière ambiguë. Ils ont le merveilleux pouvoir de déréaliser tout ce qu’ils touchent, qui rentre aussitôt dans la routine régulière des statistiques promises à l’oubli. Pour ne pas se laisser vaincre par cet oubli, l’écrivain libanais Elias Khoury, récemment disparu, a composé un étrange roman, Le Petit Homme et la guerre. Le voyage du petit Gandhi (1989). Il résonne comme une longue et impossible élégie en mémoire des anonymes qu’on rencontrait dans les rues de Beyrouth, avant que celle-ci ne soit dévorée par la guerre.""},{""text"":""Nous sommes en septembre 1982, pendant l’invasion israélienne qui culmina avec l’occupation de Beyrouth, après un enchaînement de cause à effet qui rappelle de manière troublante le moment actuel. La ville hier pleine de bruits et de passions s’écroule sur elle-même et se peuple d’ombres. La mort soudain s’étale. Les vies sont fauchées souvent au hasard et se ferment sur leur anonymat. Les habitants de la capitale disparaissent ainsi comme sous le coup d’un funeste sortilège, et leurs noms seront oubliés lorsqu’une ville nouvelle naîtra sur les ruines.""},{""text"":""L’écrivain tente de les retenir en s’agrippant aux êtres qu’il a connus ou entrevus. Il choisit pour son roman celui d’une de ces ombres qui passent, avant qu’un coup de mitraille ne l’abatte pour toujours, mettant fin au voyage de ce cireur des rues. Le narrateur ne l’a croisé qu’une seule fois. Alors, il réinvente sa vie en se la faisant raconter par une ex-prostituée. Il s’appelle Abdelkarim et vient d’un village musulman du nord. Une fois marié, il s’est installé à Beyrouth où il est passé par toutes sortes de petits métiers avant celui de cireur. Pour tout le monde, il est devenu «le petit Gandhi», à cause d’une vague ressemblance physique notée par un universitaire américain qui lui avait confié son chien.""},{""text"":""Le surnom semble bien ironique dans le contexte dramatique de ces semaines de guerre. Il ne l’est en réalité peut-être pas tant que cela. Au bout du «voyage» fait en compagnie de ce Gandhi, son nom résonne plus que jamais comme un refus désespéré de la violence. Le 14 septembre 1982, il est donc abattu sans raison. Son corps gît longtemps dans la rue, couvert par des journaux. Sa mort est passée inaperçue et elle n’intéresse au fond personne.""},{""text"":""Il faut dire que la mort elle-même avait alors perdu toute valeur, écrit le narrateur, faussement provocateur. Il sait sans doute pertinemment que donner un sens à la mort, c’est savoir respecter la vie. Nous le disions en passant: le roman écrit par Elias Khoury est une élégie impossible. L’écrivain, en racontant la vie de son personnage, la découvre pleine de trous, qui s’agrandissent fatalement pour finir par former une fosse menaçant de l’engloutir. Impossible par conséquent de faire le deuil de cette vie, de cette mort qui ne compte pas, car c’est aussi la sienne: «Le flot de mes paroles n’étanche pas ma soif.» (trad. Actes Sud, 1995).""}]"
"1732986909-5","https://news.google.com/search?q=occupation%20universitaire%20site%3Aletemps.ch%20when%3A1y&hl=fr&gl=FR&ceid=FR%3Afr","Plus - Une vaste civilisation amazonienne dévoilée par les yeux perçants d’un laser","2024-01-11T08:00:00Z","","https://news.google.com/read/CBMirAFBVV95cUxOZ25Sak84RmdhektQQ3F0RUpfZ09GTDdGTE52aHVNalZ5MWNiN0c3Nmw3MzBJNmI4WWlNY1FaUDFpRmtVM3hFMDVtUVNhU3lEQkNCN3VrREkwT1JSZ2NaWGR1bkEwWkFSV3VQYUVvUHB5dGswOHhOS3JqSGltUTBaOG9ETndNcFhYeXF1QkhEbnVQVFBZc2hlOGhFQjdxZ0pQaHl5Vk0xN3Z0UnJX?hl=fr&gl=FR&ceid=FR%3Afr","","","Denis Delbecq","Publié le 11 janvier 2024 à 20:11. / Modifié le 12 janvier 2024 à 15:07.","[{""text"":""«Claude Lévi-Strauss disait de l’Amazonie qu’elle est un Moyen Age dont on ne connaîtrait pas la Rome. D’une certaine manière, on peut dire que le lidar complète l’archéologie de terrain pour nous dévoiler en filigrane ce qu’aurait pu être cette Rome.» L’ethno-anthropologue français Philippe Descola, spécialiste des populations d’Amazonie équatorienne, ne cache pas sa satisfaction concernant les résultats de l’étude qu’il cosigne dans Science.""},{""text"":""Des recherches qui laissent penser qu’une vaste population a occupé la vallée de l’Upano (Equateur) pendant un millier d’années à partir de 500 av. J.-C., avant de disparaître mystérieusement, peut-être à la suite d’une éruption meurtrière du volcan Sangay qui domine le paysage. «Si on ne peut pas encore parler d’urbanisme, il s’agit néanmoins d’un système d’occupation des sols extrêmement dense et sur une région très vaste.» L’étude révèle notamment la présence de 6000 tertres, des plateformes de terre façonnées par l’homme, sur près de 300 kilomètres carrés.""}]"
"1732986913-6","https://news.google.com/search?q=occupation%20universitaire%20site%3Aletemps.ch%20when%3A1y&hl=fr&gl=FR&ceid=FR%3Afr","Plus - La guerre est-elle un préalable à la paix?","2024-10-09T07:00:00Z","","https://news.google.com/read/CBMihwFBVV95cUxPZjEwZWx1VTE3ZlRybWlxaXd5VkN0QWdRM3pROGh1MUZWY2QyZnR4VFJwc1FTSnk2Q3hTOGNCT0lxU1loODhKYTJvaVNpRjJmRXR4LVNLbEQtNEpVX2NBTFF2ckZpN1luWURNaDlxWWl2YXhQUG9mZ0t2S0Y0S3JlWktlRFFtYzQ?hl=fr&gl=FR&ceid=FR%3Afr","","","Micheline Calmy-Rey","Publié le 09 octobre 2024 à 06:51. / Modifié le 09 octobre 2024 à 16:38.","[{""text"":""J’ai été présidente et ministre des Affaires étrangères de la Suisse. A ces postes, j’ai dirigé plusieurs médiations au niveau international, par exemple entre l’Iran et les membres permanents du Conseil de sécurité, entre l’Arménie et la Turquie, la Fédération de Russie et la Géorgie ou encore entre Israël et les Palestiniens. Je suis aujourd’hui professeure à l’Université de Genève où je dirige un séminaire intitulé «L’art et la science de la négociation». Alors, oui, j’ai l’ambition de prétendre avoir œuvré et œuvrer pour réconcilier, pour prévenir, pour résoudre pacifiquement des différends.""},{""text"":""On ne peut parler de résolution pacifique des conflits sans évoquer Emmanuel Kant et son projet philosophique «Pour la paix perpétuelle», en rappelant que l’idée d’une Société des Nations et d’une Organisation des Nations unies lui est due.""}]"
"1732986916-7","https://news.google.com/search?q=occupation%20universitaire%20site%3Aletemps.ch%20when%3A1y&hl=fr&gl=FR&ceid=FR%3Afr","Plus - A Bethléem, les habitants pensent plus à Gaza qu’aux célébrations de Noël","2023-12-24T08:00:00Z","","https://news.google.com/read/CBMiswFBVV95cUxPZEdLWUtKQmNlM2xyNVRBb0JWeU9ObUxnYXdQT0xmYXNKVmZSblRRMDdNNW4yaDY5bVVHa2hhdFRQcDZ1LVljcm9TODBzanNROUhSellGU0JleVlDQXhGSmsydU1NeENvRklCcmhlVW4tbGdEQ2tvaWx1RXZCRkxnYW9NdVhXSGRYZjlsR1N3TkhzLW9aZE55QVlnMzVmUUU1MGEzaXBkMklIcnYySGladUI4bw?hl=fr&gl=FR&ceid=FR%3Afr","","","Alice Froussard","Publié le 24 décembre 2023 à 19:40. / Modifié le 25 décembre 2023 à 14:06.","[{""text"":""Cette année, à Bethléem, il n’y a pas eu de cérémonie pour l’illumination du fameux sapin de douze mètres de haut. Ce dernier est d’ailleurs inexistant, tout comme la crèche en bois d’olivier et le marché de Noël. Il y a quelques taxis çà et là, deux policiers et des habitants attablés aux terrasses d’un café sous les arcades. A l’approche de Noël, cette place est d’ordinaire le lieu de rassemblement des Chrétiens du monde entier: des milliers de pèlerins et des touristes, curieux, se pressent pour célébrer dans cette ville palestinienne, qui, selon la tradition chrétienne, a vu naître Jésus Christ il y a deux mille ans. Mais cette année, toute la ville est lestée d’un voile de deuil et la place de la Mangeoire est restée un vaste parking.""},{""text"":""«Voilà à quoi ressemble Noël à Bethléem, voilà à quoi ressemble Noël en Palestine», lance le révérend Munther Isaac, depuis la cour de l’Eglise luthérienne. «En réalité, nous sommes en temps de guerre et notre peuple à Gaza subit un génocide, alors en tant que Palestiniens, ou Chrétiens palestiniens, nous ne le regardons pas de loin: nous en sommes aussi victimes. J’aimerais surtout que le monde regarde Gaza plutôt que Bethléem, l’actualité est là-bas», regrette-t-il, las de voir défiler les journalistes depuis plusieurs jours.""}]"
"1732986920-8","https://news.google.com/search?q=occupation%20universitaire%20site%3Aletemps.ch%20when%3A1y&hl=fr&gl=FR&ceid=FR%3Afr","Plus - James Ensor fêté en Belgique, au-delà des masques et des squelettes","2024-03-13T07:00:00Z","","https://news.google.com/read/CBMipAFBVV95cUxNcllGUUl4Z1B0RjQyMktTXzViSEp4UTR0dUJUMWZDb2VTSWhqdF9NMHNiOUZ3WlY4dks1bGowNUNYZ3E1bnl1anRfdzgyNmMwU1M4T2pSak56M1lZUkN6RDhGRzRrYVN6RXNXWHp2QlBHa0trS3VxX0ZXUGZfa2drdWd0dFZiWm9pSUNYQXFocDlnQ05ZR0ZoX25UX0Q3UU4weTZlTQ?hl=fr&gl=FR&ceid=FR%3Afr","","","Valérie de Graffenried","Publié le 13 mars 2024 à 18:03. / Modifié le 14 mars 2024 à 06:06.","[{""text"":""Petit, James Ensor (1860-1949) était fasciné par les objets vendus dans la boutique familiale, un petit magasin de souvenirs et d’articles de plage à Ostende, au bord de la mer du Nord. Masques de carnaval, chinoiseries, dentelle, poissons empaillés, coquillages et… crânes humains récupérés dans les dunes, appartenant à des soldats morts sous l’occupation espagnole: ces objets ont forgé son imaginaire. Le masque et le squelette sont d’ailleurs devenus, dès 1887, des motifs récurrents de son œuvre.""},{""text"":""""},{""text"":""""}]"
"1732986924-9","https://news.google.com/search?q=occupation%20universitaire%20site%3Aletemps.ch%20when%3A1y&hl=fr&gl=FR&ceid=FR%3Afr","Plus - Kathy Willis, biologiste: «On devrait prescrire la nature sur ordonnance»","2024-11-02T07:00:00Z","","https://news.google.com/read/CBMiowFBVV95cUxQSWtpRnRiV01QTV93UjNva0ktOENGdlNLRnoyUTR0Y3M5ZGFFZ0NUM2VvazZyZjU2c0RBMjNQWVhZdU95RW52Slk4cEdwUTNUdzNxc1FITUptYmZYYjFIaXFZVGNJdTNtaGV5Ylg0QnEyLTJNTHFTNUdMb3dfZFRnVFdWdGMyU0o2eW1FZDJmODQwLVNMV0NHVi1veHZYSm9hSko4?hl=fr&gl=FR&ceid=FR%3Afr","","","Aurélie Coulon","Publié le 02 novembre 2024 à 11:43. / Modifié le 29 novembre 2024 à 12:46.","[{""text"":""Nombreux sont celles et ceux qui savent au fond qu’il n’y a rien de tel qu’une promenade en forêt pour recharger ses batteries. Mais qui pourrait imaginer que regarder une plante verte sur son bureau suffit pour réduire les effets physiologiques du stress? Mieux, une étude publiée en 1984 dans Science a montré que les patients d’un hôpital de Pennsylvanie récupéraient plus vite de leur opération lorsque leur fenêtre donnait sur des arbres plutôt que sur un mur en briques…""},{""text"":""La biologiste britannique Kathy Willis, professeure de biodiversité à l’Université d’Oxford, ancienne directrice scientifique des célèbres jardins botaniques royaux de Kew et membre de la Chambre des Lords, s’est plongée dans la littérature scientifique et en a retiré des centaines d’études démontrant les bienfaits de l’interaction avec les plantes et leurs écosystèmes sur la santé humaine. Elle a regroupé récemment toutes ces connaissances dans un ouvrage intitulé Naturel. Pourquoi voir, sentir, toucher et écouter les plantes nous fait du bien (Ed. Seuil). La scientifique y préconise une seule chose: une «prescription verte», à l’échelle individuelle et de la cité.""}]"
"1732986927-10","https://news.google.com/search?q=occupation%20universitaire%20site%3Aletemps.ch%20when%3A1y&hl=fr&gl=FR&ceid=FR%3Afr","Plus - Les députés allemands adoptent un texte controversé sur l’antisémitisme","2024-11-07T08:00:00Z","","https://news.google.com/read/CBMiqwFBVV95cUxQb2pPXzBMSDJjajRZSGZDRk9GVkpIX1l3ZXlsclltSWRIREFUOGlNWUFOckVEUllfXzk0dGZhRUNSNmhJc0ZreTlvNW9NNXdYUVQzd1ptQUNDSldTZ2ZxaEhLa0dCZVpjVEFlX2E2VVM4bWhsQnRNaFZRYWQ3QktyT1BHMW9ETnBib1laMXJ1MnRBd3N3RXRaeklBa3lUYm9XekJ4c2w3OFNoVUk?hl=fr&gl=FR&ceid=FR%3Afr","","","Le Temps avec l’AFP","Publié le 07 novembre 2024 à 17:29.","[{""text"":""Les députés allemands ont largement adopté jeudi une résolution visant à renforcer la lutte contre l’antisémitisme, notamment dans la sphère éducative et culturelle. Non contraignant, le texte a pour but de «protéger, préserver et renforcer la vie juive en Allemagne» et a reçu le soutien d’une très large majorité au Bundestag, incluant, dans l’opposition, les conservateurs CDU/CSU et le parti d’extrême droite AfD.""},{""text"":""Ses signataires saluent une clarification nécessaire dans un contexte de forte recrudescence des actes antisémites en Allemagne depuis les événements du 7 octobre 2023 – l’attaque sans précédent du Hamas contre Israël, qui a déclenché la guerre dans la bande de Gaza.""},{""text"":""Des voix critiques s’inquiètent néanmoins que certaines dispositions du texte, négocié durant près d’un an, puissent permettre de restreindre la liberté académique et culturelle et adoptent «une rhétorique qui divise».""},{""text"":""Le document parlementaire appelle à garantir «qu’aucune organisation ou projet qui propage l’antisémitisme, remet en question le droit à l’existence d’Israël, appelle au boycott d’Israël ou soutient activement le mouvement BDS (Boycott, désinvestissement, sanctions contre Israël) ne bénéficie d’un soutien financier». Dans les établissements d’enseignement, la résolution recommande «l’exclusion des cours voire le renvoi dans des cas particulièrement graves».""},{""text"":""«Cette résolution ouvre la voie à des abus, criminalise les critiques légitimes de la politique gouvernementale israélienne et sert le récit raciste de l’antisémitisme importé», déplore l’organisation de défense des droits humains Amnesty international.""},{""text"":""Des artistes et intellectuels juifs vivant en Allemagne avaient estimé eux aussi, dans une tribune parue cet été, que la résolution «n’atteint pas les objectifs» qu’elle s’est fixés. Des juristes et personnalités du monde universitaire, associatif et culturel ont appelé fin octobre à un texte «protégeant la vie juive sans monter les minorités les unes contre les autres».""},{""text"":""Le texte des parlementaires met en avant «l’ampleur effrayante d’un antisémitisme basé sur l’immigration en provenance des pays d’Afrique du Nord et du Proche et Moyen-Orient», tout en constatant que le phénomène est de «plus en plus manifeste et violent dans les milieux d’extrême droite» et aussi lié à «l’anti-impérialisme de gauche».""}]"
