web-scraper-order,web-scraper-start-url,titre,description,lien,lien-href,auteur,Lieu,infos,texte
"1732480459-1","https://www.letemps.ch/profil/laure-lugon-zugravu?page=13","L’élue nyonnaise Elise Buckle soutenue du bout des lèvres","La municipale verte se défend d’avoir violé le secret de fonction, après la plainte pénale déposée par la municipalité. Mais elle apparaît assez seule. Son parti préfère s’en remettre à la justice et admet qu’il y a eu des problèmes dès le début entre ses deux candidats aux élections","L’élue nyonnaise Elise Buckle soutenue du bout des lèvres","https://www.letemps.ch/suisse/vaud/lelue-nyonnaise-elise-buckle-soutenue-bout-levres","[{""auteur"":""""},{""auteur"":""Laure Lugon Zugravu""}]","","Publié le 21 décembre 2021 à 19:26. / Modifié le 10 juin 2023 à 15:04.","[{""texte"":""A Nyon, les choses s’enveniment. Accusée d’avoir violé le secret de fonction, la municipale Elise Buckle contre-attaque. Dans un communiqué diffusé mardi, elle se dit «atterrée» et nie avec vigueur «les accusations d’orchestration de fuites qui me valent une plainte pénale et une demande de suspension de la part de la municipalité de Nyon». Vendredi, cette dernière déposait en effet une plainte contre la Verte nouvellement élue, deux jours avant les révélations du Temps sur les dysfonctionnements de la commune. Dans la foulée, le syndicat SSP démentait formellement avoir été informé par Elise Buckle.""},{""texte"":""""},{""texte"":""""}]"
"1732480462-2","https://www.letemps.ch/profil/laure-lugon-zugravu?page=13","L’immense blague de la fraude électorale à Genève","OPINION. Le Tribunal fédéral a débouté les deux dénonciatrices du Service des votations et élections qui voulaient être réintégrées dans leur emploi. Elles étaient à l’origine d’une procédure pénale pour fraude électorale qui n’a pas eu lieu. La presse est largement tombée dans le panneau","L’immense blague de la fraude électorale à Genève","https://www.letemps.ch/opinions/limmense-blague-fraude-electorale-geneve","[{""auteur"":""""},{""auteur"":""Laure Lugon Zugravu""}]","","Publié le 23 décembre 2021 à 15:54. / Modifié le 10 juin 2023 à 15:03.","[{""texte"":""En 2019, une «Genferei» au-delà de toute espérance secouait la Suisse: la république bananière du bout du lac s’illustrait désormais, au pays de la démocratie sans faille, dans la fraude électorale. Après que le Ministère public se fut saisi de l’affaire, la plupart des médias ont rivalisé de détails croustillants et scandaleux: destruction de bulletins de vote, sacs poubelles remplis de bulletins déchirés, votes précédents comme la loi sur la police «vendus», plombs de sécurité de la salle des bulletins contournés. A l’origine de cette tempête, deux employées du Service des votations et élections (SVE), promues lanceuses d’alerte pour l’occasion, qui accusaient un troisième collaborateur.""},{""texte"":""Sauf que tout s’est révélé bidon. En février 2020, le procureur général classe l’affaire, les investigations n’ayant pas confirmé les allégations des deux femmes. Estimant que le lien de confiance est rompu, le canton les licencie. Celles-ci, probablement galvanisées par l’exposition médiatique, recourent contre la décision. Les juges cantonaux confirment la sanction du canton. Estimant qu’elles devaient être réintégrées, malgré leurs salades, elles en appellent alors au Tribunal fédéral. Celui-ci les a déboutées, le 24 novembre dernier. Fin de l’histoire, même si elles menacent d’aller à la Cour européenne des droits de l’homme.""}]"
"1732480465-3","https://www.letemps.ch/profil/laure-lugon-zugravu?page=13","A Nyon, le législatif attend toujours des explications sur la crise","Deux partis réclament depuis décembre une séance extraordinaire du Conseil communal pour faire la lumière sur la crise que traverse la commune. Mais la date n’a toujours pas été fixée. Elise Buckle, la municipale accusée d’avoir violé le secret de fonction, ne démissionne pas","A Nyon, le législatif attend toujours des explications sur la crise","https://www.letemps.ch/suisse/vaud/nyon-legislatif-attend-toujours-explications-crise","[{""auteur"":""""},{""auteur"":""Laure Lugon Zugravu""}]","","Publié le 10 janvier 2022 à 16:18. / Modifié le 10 juin 2023 à 15:01.","[{""texte"":""A Nyon, la trêve des confiseurs joue les prolongations. Suite aux révélations du Temps concernant la crise au sein de l’administration communale, les libéraux-radicaux Nyon et le Parti indépendant nyonnais ont demandé, le 22 décembre dernier, la tenue d’une séance extraordinaire du Conseil communal, ce 10 janvier. Mais ce lundi, les 34 signataires n’avaient toujours pas obtenu satisfaction: «La date a été repoussée plusieurs fois, explique Jacky Colomb, chef de groupe du Parti indépendant nyonnais. Nous avons pourtant fait le forcing, car nous ne voulions pas que la séance ordinaire du 31 janvier soit polluée par cette affaire. On nous a proposé le 7 février, mais cela ne nous convient pas. Il n’y a aucune raison qu’on nous promène ainsi. Cela fait un mois que le syndic, Daniel Rossellat, nous a promis des informations, et il n’y a toujours rien.» Il faut dire, aussi, que ce dernier est en vacances au Mexique jusqu’au 15, ce que ne manquent pas de relever plusieurs élus.""},{""texte"":""Lire aussi : A Nyon, le système Rossellat coûte une fortune au contribuable""}]"
"1732480468-4","https://www.letemps.ch/profil/laure-lugon-zugravu?page=13","Pour les élus, la faute de Pierre Maudet est avant tout politique","Peu estiment que l’acquittement de l’ancien conseiller d’Etat change la donne. Il reste celui qui a menti et plongé la République dans une crise politique et institutionnelle","Pour les élus, la faute de Pierre Maudet est avant tout politique","https://www.letemps.ch/suisse/geneve/elus-faute-pierre-maudet-politique","[]","","Publié le 11 janvier 2022 à 18:35. / Modifié le 10 juin 2023 à 14:58.","[{""texte"":""A Genève, peu d’élus estiment que l’acquittement en appel de Pierre Maudet atténue la gravité de son cas qui a plongé le canton dans une longue crise politique et institutionnelle. La plupart disent respecter la décision judiciaire. Mais hormis ses soutiens indéfectibles, ils ne révisent pas leur jugement sur les fautes politiques de l’ancien conseiller d’Etat, à la suite de la révélation, en mai 2018, de son luxueux voyage à Abu Dhabi.""},{""texte"":""Ils gardent en tête la stupeur qui a frappé le canton lorsque le Ministère public a divulgué ses mensonges orchestrés, puis lorsque ses démêlés fiscaux ont été rendus publics. Sans omettre les multiples remaniements de l’exécutif, avant qu’une élection complémentaire, en mars dernier, ne vienne clore ce chapitre politique au bout de près de trois ans.""}]"
"1732480471-5","https://www.letemps.ch/profil/laure-lugon-zugravu?page=13","La République du glaive et de la vertu","OPINION. Oui, il y a eu emballement dans l’affaire Maudet, n’en déplaise aux ayatollahs qui veillent à ce qu’on déteste les détestables. Ce qui révèle des choses sur un canton plus volcanique qu’un autre, mais aussi sur une époque où la morale fait son grand retour","La République du glaive et de la vertu","https://www.letemps.ch/opinions/republique-glaive-vertu","[{""auteur"":""""},{""auteur"":""Laure Lugon Zugravu""}]","","Publié le 11 janvier 2022 à 19:26. / Modifié le 10 juin 2023 à 14:58.","[{""texte"":""Tout ça pour ça. Après trois ans et demi d’un pataquès consternant qui a secoué la République et suscité l’ironie ailleurs, Pierre Maudet est acquitté par la justice. Ce qui ne l’exonère pas des fautes, mensonges et manipulations politiques, mais ça, c’est une autre histoire. Elle s’est réglée dans les urnes, et ces mêmes urnes pourraient pardonner en 2023, allez savoir.""},{""texte"":""Lire encore: Pierre Maudet est acquitté sur toute la ligne en appel""}]"
"1732480474-6","https://www.letemps.ch/profil/laure-lugon-zugravu?page=13","Réforme de l’école: la droite accuse le gouvernement","PLR, UDC et vert’libéraux ont demandé une prolongation du délai de récolte des signatures pour leur référendum contre la réforme du secondaire. Le refus du gouvernement les indigne, alors que la situation sanitaire affecte le processus","Réforme de l’école: la droite accuse le gouvernement","https://www.letemps.ch/suisse/geneve/reforme-lecole-droite-accuse-gouvernement","[{""auteur"":""""},{""auteur"":""Laure Lugon Zugravu""}]","","Publié le 13 janvier 2022 à 17:45. / Modifié le 10 juin 2023 à 15:02.","[{""texte"":""La droite genevoise y va fort. PLR, UDC et vert’libéraux lapident le Conseil d’Etat dans un communiqué conjoint qui se termine par #Double langage #Zéro crédibilité. Qu’est-ce qui vaut au gouvernement ce courroux? Son refus de prolonger le délai de signatures pour le référendum sur la réforme du cycle d’orientation CO22, malgré les restrictions sanitaires qui affectent la récolte. A ce jour, les référendaires ont obtenu un peu moins de 4000 paraphes et il en faudrait encore 2500 jusqu’à mardi prochain, pour compter large à cause des invalidations.""},{""texte"":""La droite élargie reproche au Conseil d’Etat de ne pas admettre qu’à circonstance exceptionnelle, mesures exceptionnelles. Elle accuse le gouvernement de n’avoir aucune souplesse en matière de droits politiques alors même qu’il «impose des restrictions sanitaires plus fortes que celles proposées par la Confédération». Présidente des vert’libéraux, Marie-Claude Sawerschel trouve cette réaction «grotesque»: «Le Conseil d’Etat fait un pas de deux en disant que oui, la situation sanitaire change tout, mais que ça ne change rien pour la récolte de signatures.»""}]"
"1732480478-7","https://www.letemps.ch/profil/laure-lugon-zugravu?page=13","T’as pas une Gauloise sans filtre?","OPINION. Les Suisses voteront pour la suppression de la publicité pour le tabac qui touche les enfants et les jeunes. A tout vouloir interdire, protéger, réglementer, on en oublie la liberté et la responsabilité qui se construisent sur la réflexion","T’as pas une Gauloise sans filtre?","https://www.letemps.ch/suisse/tas-une-gauloise-filtre","[{""auteur"":""""},{""auteur"":""Laure Lugon Zugravu""}]","","Publié le 15 janvier 2022 à 10:04. / Modifié le 10 juin 2023 à 15:00.","[{""texte"":""Comme ma chronique, je la prendrais volontiers sans filtre, la Gauloise de mes souvenirs. En pensant à Gainsbourg et à tous ceux qui enfumaient les plateaux de télé. Ou plutôt, j’aimerais une Marlboro rouge. A cause du cow-boy ultra-viril de la pub, qui tire une taffe autour du feu, dans les grands espaces fantasmés de la liberté.""},{""texte"":""Des images gravées dans l’inconscient qu’il faut arrêter de propager auprès des jeunes. C’est le sens de l’initiative populaire sur laquelle les Suisses voteront bientôt et qui se propose d’interdire toute publicité pour le tabac dès lors qu’elle pourrait être vue par des mineurs. C’est-à-dire partout, dans les rues, les kiosques, les manifestations, sur internet, dans les journaux. Ce sera magnifique, vous verrez. Une société sans incitation au mal qui finit par tuer ceux qui s’y adonnent après de longs séjours dans les hôpitaux. Et puis les milieux antitabac l’assurent: la publicité a un effet sur le taux des jeunes fumeurs (d’ailleurs, si la chicha est très tendance chez les ados, c’est à cause de toutes ces affiches publicitaires vantant ces pipes à eau sur fond de paysage oriental). Mais je fais du mauvais esprit. Commençons par renvoyer le cow-boy à sa triste et coupable fin.""}]"
"1732480480-8","https://www.letemps.ch/profil/laure-lugon-zugravu?page=13","Pourquoi la vaccination des enfants a peu de succès","Seuls 4,1% des petits Suisses âgés de 5 à 11 ans ont reçu au moins une dose de vaccin. Même si les recommandations sont assez floues, les pédiatres n’attendent pas davantage d’incitations des autorités","Pourquoi la vaccination des enfants a peu de succès","https://www.letemps.ch/suisse/vaccination-enfants-succes","[{""auteur"":""""},{""auteur"":""Laure Lugon Zugravu""}]","","Publié le 18 janvier 2022 à 18:31. / Modifié le 10 juin 2023 à 14:59.","[{""texte"":""Le taux n’est pas glorieux: seulement 4,1% des 5-11 ans ont reçu au moins une dose de vaccin, depuis que cette possibilité est ouverte à cette catégorie d’âge. Dans certains cantons, le taux frôle même l’insignifiance. Ainsi, Genève n’affichait le 16 janvier que 0,5%, le Valais 0,7%, le Jura 1,1%, Fribourg et Vaud 1,3%, Neuchâtel 1,4%. Même s’il faut nuancer, puisque vendredi dernier, Genève par exemple comptait 1900 enfants inscrits en attente du vaccin.""},{""texte"":""Lire aussi:  La vaccination des enfants en Suisse se rapproche""}]"
"1732480484-9","https://www.letemps.ch/profil/laure-lugon-zugravu?page=13","La droite genevoise sauve de justesse son référendum contre la réforme de l’école","Après s’être vu refuser une prolongation du délai pour la récolte de signatures, PLR, UDC et vert’libéraux ont obtenu au dernier moment le nombre requis. Les Genevois décideront s’ils veulent abolir les sections au cycle d’orientation","La droite genevoise sauve de justesse son référendum contre la réforme de l’école","https://www.letemps.ch/suisse/geneve/droite-genevoise-sauve-justesse-referendum-contre-reforme-lecole","[{""auteur"":""""},{""auteur"":""Laure Lugon Zugravu""}]","","Publié le 19 janvier 2022 à 13:37. / Modifié le 10 juin 2023 à 15:02.","[{""texte"":""Par les poils. Mercredi à la mi-journée, la droite élargie genevoise pouvait respirer. Après des semaines à tenter de récolter des signatures pour son référendum contre la réforme du cycle d’orientation (CO22) dans les rues vides de Genève, disait-elle, elle a enfin réussi à réunir un peu plus de 6500 signatures, a appris Le Temps. Il lui faut 5398 signatures valables pour envoyer ce projet du Conseil d’Etat en votation populaire.""},{""texte"":""PLR, UDC et vert’libéraux se sont unis pour s’ériger contre cette énième réforme scolaire qu’ils estiment bâclée. Mais surtout, ils ne veulent pas voir les sections abolies en 9e et 10e années, craignant un nivellement par le bas des exigences. Des sections que le peuple avait par ailleurs réintroduites il y a quelques années en votation populaire. De son côté, la ministre Anne Emery-Torracinta souhaite notamment par cette réforme sortir les élèves les plus faibles du ghetto de l’échec dans lequel ils sont maintenus actuellement par le système en place.""}]"
"1732480486-10","https://www.letemps.ch/profil/laure-lugon-zugravu?page=13","Chronique réservée aux mâles blancs dominants et à Dieu","OPINION. Un conseil de l’Eglise protestante de Genève a élaboré un projet visant à «démasculiniser» Dieu, au prétexte que la représentation qu’on s’en fait est celle d’un homme blanc âgé. C’est une blague ou elle a touché le fond?","Chronique réservée aux mâles blancs dominants et à Dieu","https://www.letemps.ch/suisse/chronique-reservee-aux-males-blancs-dominants-dieu","[{""auteur"":""""},{""auteur"":""Laure Lugon Zugravu""}]","","Publié le 21 janvier 2022 à 19:09. / Modifié le 10 juin 2023 à 14:57.","[{""texte"":""Notre Mère, qui êtes aux cieux… Oui, éventuellement. Iel, qui est au ciel… c’est plus heureux et ça rime. Ce n’est pas Dieu possible. Voilà que l’Eglise protestante de Genève (EPG), qui n’avait rien d’autre à faire devant ses chapelles désertes, projette de «démasculiniser» Dieu, par la grâce de la Compagnie des pasteurs et des diacres ainsi que son répondant pour les questions LGBTIQ+, amen. Il me vient presque l’envie de convoquer les épouvantables robes de bure du Nom de la rose pour traduire cette bouffonnerie en procès en sorcellerie. Au moins, on s’y amuserait, s’il est encore permis de rire du wokisme sans risquer le bûcher.""},{""texte"":""Il semble donc qu’en disant Dieu en marmonnant nos patenôtres, on se représente un vieillard barbu et blanc posé sur un nuage, ce qui implique que les femmes ne peuvent s’y reconnaître. C’est évidemment leur faire insulte. C’est faire offense à l’intelligence, à la faculté d’abstraction, à la spiritualité, à l’ontologie. Tout simplement grotesque.""}]"
